timestamp_sec,camera_mode,node_id,inliers,matches,inlier_ratio,hypothesis_ratio,loop_closure_id,wm_size,detection_time_ms,total_time_ms,pos_x,pos_y,yaw,cov_xx,cov_yy,cov_yaw,cov_pos_trace
1775686372.8406267,double,22794,0,0,0.0,0.0,0,977,449.67,458.78,-3.1147,2.665,2.279,0.008896,0.009482,0.00824,0.018378
1775686373.8418005,double,22795,3,39,0.0068,1.0,0,977,194.25,217.73,-3.1369,2.5232,2.3113,9999.0,9999.0,9999.0,19998.0
1775686374.975899,double,22796,3,36,0.0068,1.0,0,977,217.76,232.26,-3.1368,2.5232,2.3114,9999.0,9999.0,9999.0,19998.0
1775686376.1769907,double,22797,0,0,0.0,0.0,0,977,190.72,198.83,-3.1317,2.5131,2.3168,9999.0,9999.0,9999.0,19998.0
1775686377.2447264,double,22798,0,0,0.0,0.0,0,977,145.79,158.16,-3.1438,2.5279,2.3206,9999.0,9999.0,9999.0,19998.0
1775686378.247112,double,22799,0,0,0.0,0.0,0,977,123.32,131.62,-3.1433,2.5281,2.3208,9999.0,9999.0,9999.0,19998.0
1775686379.5151157,double,22800,0,0,0.0,0.0,0,977,156.26,163.92,-3.0799,2.4189,2.3677,9999.0,9999.0,9999.0,19998.0
1775686380.7159486,double,22801,0,0,0.0,0.0,0,977,184.54,200.59,-2.9017,2.2513,2.3599,9999.0,9999.0,9999.0,19998.0
1775686381.8501089,double,22802,0,0,0.0,0.0,0,977,217.95,230.16,-2.7935,2.1584,2.4002,9999.0,9999.0,9999.0,19998.0
1775686383.1177025,double,22803,3,22,0.0066,1.0,0,977,173.19,180.02,-2.6843,2.0608,2.5663,9999.0,9999.0,9999.0,19998.0
1775686384.1854362,double,22804,12,56,0.0272,1.0,0,977,242.22,248.79,-2.396,1.8835,-3.0832,9999.0,9999.0,9999.0,19998.0
1775686385.3204896,double,22805,3,39,0.0067,1.0,0,977,272.95,291.91,-2.3041,1.6794,-1.3833,9999.0,9999.0,9999.0,19998.0
1775686386.3878622,double,22806,0,0,0.0,0.0,0,977,264.57,270.78,-2.0421,1.2955,-0.9449,9999.0,9999.0,9999.0,19998.0
1775686387.4550302,double,22807,8,84,0.0177,1.0,0,977,373.12,400.18,-1.766,0.9141,-1.0169,9999.0,9999.0,9999.0,19998.0
1775686388.6555014,double,22808,21,124,0.0466,1.0,0,977,363.16,383.61,-1.5375,0.4721,-1.2077,9999.0,9999.0,9999.0,19998.0
1775686389.8563902,double,22809,0,0,0.0,0.0,0,977,359.8,368.64,-1.4422,-0.0369,-1.3538,9999.0,9999.0,9999.0,19998.0
1775686390.8575764,double,22810,28,138,0.0647,0.0,0,977,385.61,391.44,-1.4194,-0.6104,-1.3837,0.006169,0.006871,0.002005,0.01304
1775686392.059519,double,22811,0,0,0.0,0.0,0,977,359.45,368.3,-1.297,-0.9543,-0.9206,0.007169,0.007871,0.003005,0.01504
1775686393.1264603,double,22812,0,0,0.0,0.0,0,977,293.51,301.29,-0.9411,-1.1839,-0.5782,0.008169,0.008871,0.004005,0.01704
1775686395.0612144,double,22813,0,0,0.0,0.0,0,977,281.35,294.41,-0.6026,-1.2532,-0.0554,0.009169,0.009871,0.005005,0.01904
1775686396.061606,double,22814,31,118,0.0801,0.0,0,977,244.83,264.78,-0.4092,-1.0889,0.5931,0.003366,0.003183,0.001854,0.006549
1775686397.0620148,double,22815,54,127,0.1388,0.0,0,977,318.07,333.72,-0.0175,-0.8409,0.4386,0.00082,0.00082,0.001463,0.001641
1775686398.4625616,double,22816,43,145,0.1111,0.0,0,977,273.64,282.33,0.541,-0.546,0.6448,0.001477,0.001724,0.001173,0.003201
1775686399.4630954,double,22817,72,142,0.1731,1.0,542,977,273.99,283.46,0.8795,-0.272,0.7011,0.002176,0.00263,0.001224,0.004806
1775686400.5305257,double,22818,38,80,0.1005,1.0,370,977,325.88,337.62,1.2695,0.0709,0.8623,0.002498,0.003071,0.001039,0.005568
1775686401.5315769,double,22819,30,98,0.0694,1.0,0,977,405.27,418.94,1.4387,0.4576,1.203,0.001731,0.001841,0.001451,0.003572
1775686402.732538,double,22820,44,104,0.1114,1.0,372,977,300.28,317.29,1.608,0.9669,1.3432,0.001279,0.001337,0.001189,0.002616
1775686403.7331069,double,22821,28,91,0.0739,1.0,372,977,361.58,378.0,1.643,1.4772,1.4226,0.000324,0.000386,0.000922,0.00071
1775686404.7336073,double,22822,55,144,0.1567,1.0,547,977,353.99,364.29,1.6848,1.7111,2.1319,0.000161,0.000144,0.000822,0.000305
1775686405.8009903,double,22823,27,84,0.0763,1.0,398,977,435.66,457.38,1.8265,1.6469,2.5265,8.1e-05,0.000187,0.001191,0.000268
1775686406.9355986,double,22824,0,0,0.0,0.0,0,977,252.66,266.06,1.8289,1.6401,2.5389,8.1e-05,0.000187,0.001191,0.000268
1775686408.0038302,double,22825,0,0,0.0,0.0,0,977,113.09,140.23,1.8219,1.6452,2.5406,8.1e-05,0.000187,0.001191,0.000268
