timestamp_sec,camera_mode,node_id,inliers,matches,inlier_ratio,hypothesis_ratio,loop_closure_id,wm_size,detection_time_ms,total_time_ms,pos_x,pos_y,yaw,cov_xx,cov_yy,cov_yaw,cov_pos_trace
1775862472.4898515,single,3809,0,0,0.0,0.0,0,977,130.61,136.94,-2.9982,2.3346,2.4271,9999.0,9999.0,9999.0,19998.0
1775862473.5575168,single,3810,0,26,0.0,1.0,0,977,98.37,105.11,-2.833,2.1867,2.431,9999.0,9999.0,9999.0,19998.0
1775862474.5585206,single,3811,0,30,0.0,1.0,0,977,187.21,192.14,-2.8098,2.1552,2.4364,9999.0,9999.0,9999.0,19998.0
1775862475.5594816,single,3812,0,27,0.0,1.0,0,977,167.86,173.82,-2.8141,2.1578,2.4341,9999.0,9999.0,9999.0,19998.0
1775862476.6276329,single,3813,0,31,0.0,1.0,0,977,191.64,198.3,-2.8175,2.1596,2.4325,9999.0,9999.0,9999.0,19998.0
1775862477.6951323,single,3814,0,28,0.0,1.0,0,977,145.24,151.92,-2.7194,2.0366,2.6416,9999.0,9999.0,9999.0,19998.0
1775862478.695894,single,3815,0,0,0.0,0.0,0,977,174.73,190.67,-2.4163,1.8774,-2.7956,9999.0,9999.0,9999.0,19998.0
1775862479.763368,single,3816,0,71,0.0,1.0,0,977,145.91,150.54,-2.3534,1.6437,-1.2232,9999.0,9999.0,9999.0,19998.0
1775862480.7641287,single,3817,42,117,0.1024,1.0,0,977,269.71,277.56,-2.0463,1.3129,-0.9622,9999.0,9999.0,9999.0,19998.0
1775862481.7649004,single,3818,28,87,0.0685,0.0,0,977,286.57,291.57,-1.8306,0.9978,-1.0163,0.00247,0.002526,0.003316,0.004996
1775862482.8324106,single,3819,0,0,0.0,0.0,0,977,311.43,316.8,-1.5911,0.6231,-1.1087,0.00347,0.003526,0.004316,0.006996
1775862483.8332195,single,3820,21,78,0.0533,0.0,0,977,247.28,256.58,-1.4326,0.1149,-1.2945,0.000524,0.000524,0.001393,0.001048
1775862485.1008446,single,3821,54,114,0.1488,0.0,0,977,317.5,325.28,-1.3652,-0.435,-1.3802,0.00145,0.00192,0.001708,0.003371
1775862486.1017985,single,3822,45,118,0.1111,0.0,0,977,269.86,276.02,-1.3406,-0.7762,-1.2922,0.001674,0.002078,0.001266,0.003752
1775862487.1026645,single,3823,50,120,0.1441,0.0,0,977,319.93,324.57,-1.1797,-0.9582,-0.9311,0.000772,0.000809,0.001167,0.001581
1775862488.2368221,single,3824,30,73,0.0809,0.0,0,977,285.83,290.41,-0.8149,-1.2449,-0.5968,0.001461,0.001634,0.001326,0.003095
1775862489.2375157,single,3825,25,52,0.1029,0.0,0,977,314.11,324.33,-0.5393,-1.3019,-0.1814,0.001772,0.00192,0.002023,0.003692
1775862490.4385772,single,3826,54,99,0.141,0.0,0,977,179.73,193.95,-0.0787,-1.1253,0.4907,0.001285,0.001369,0.001387,0.002654
1775862491.6397529,single,3827,70,128,0.1955,0.0,0,977,333.37,340.48,0.3243,-0.7586,0.6339,0.001906,0.002321,0.001243,0.004227
1775862492.6408343,single,3828,69,111,0.186,0.0,0,977,267.07,272.52,0.626,-0.4432,0.6527,0.002588,0.003232,0.001084,0.00582
1775862493.6418755,single,3829,65,90,0.1662,1.0,370,977,201.92,207.0,0.9784,-0.1594,0.6652,0.003089,0.003891,0.001321,0.006979
1775862494.6438162,single,3830,69,98,0.1806,1.0,370,977,190.12,197.72,1.2625,0.1681,0.8913,0.002263,0.002558,0.001278,0.004822
1775862495.6448016,single,3831,66,107,0.1587,1.0,546,977,195.3,200.17,1.4772,0.5496,1.1119,0.002817,0.003144,0.001645,0.005962
1775862496.6464574,single,3832,61,98,0.1622,1.0,372,977,237.26,243.79,1.6134,0.9868,1.2986,0.001582,0.001648,0.001292,0.00323
1775862497.6477787,single,3833,44,57,0.1283,1.0,395,977,223.68,228.07,1.7008,1.4116,1.415,0.002087,0.002218,0.001579,0.004305
1775862498.7148433,single,3834,76,146,0.2275,1.0,394,977,252.61,258.55,1.7786,1.6723,2.1916,0.000196,0.000208,0.001155,0.000404
1775862499.7819731,single,3835,36,78,0.1115,1.0,398,977,224.28,228.59,1.7919,1.6864,2.5146,0.000818,0.000864,0.001476,0.001682
