timestamp_sec,camera_mode,node_id,inliers,matches,inlier_ratio,hypothesis_ratio,loop_closure_id,wm_size,detection_time_ms,total_time_ms,pos_x,pos_y,yaw,cov_xx,cov_yy,cov_yaw,cov_pos_trace
1775860606.5277324,single,2001,0,20,0.0,1.0,0,977,130.24,138.88,-3.0677,2.4109,2.3249,9999.0,9999.0,9999.0,19998.0
1775860607.5286078,single,2002,0,28,0.0,1.0,0,977,237.19,243.61,-2.9067,2.2353,2.3397,9999.0,9999.0,9999.0,19998.0
1775860608.5961306,single,2003,0,28,0.0,1.0,0,977,202.47,207.1,-2.8429,2.1666,2.3678,9999.0,9999.0,9999.0,19998.0
1775860609.7303934,single,2004,0,23,0.0,1.0,0,977,188.46,202.91,-2.8407,2.1396,2.3784,9999.0,9999.0,9999.0,19998.0
1775860610.7326274,single,2005,0,30,0.0,1.0,0,977,182.8,190.56,-2.5805,1.9272,2.6181,9999.0,9999.0,9999.0,19998.0
1775860611.734633,single,2006,0,36,0.0,1.0,0,977,170.34,174.97,-2.2997,1.7846,-2.6187,9999.0,9999.0,9999.0,19998.0
1775860612.7352624,single,2007,12,61,0.0296,1.0,0,977,205.58,212.06,-2.2739,1.578,-1.1634,9999.0,9999.0,9999.0,19998.0
1775860613.7358172,single,2008,29,80,0.0707,1.0,0,977,227.98,235.32,-1.9978,1.2062,-0.9383,9999.0,9999.0,9999.0,19998.0
1775860614.7363532,single,2009,24,82,0.0576,0.0,0,977,317.38,324.75,-1.7879,0.8803,-1.001,0.001394,0.001482,0.002685,0.002875
1775860615.7369125,single,2010,0,0,0.0,0.0,0,977,268.3,276.23,-1.6007,0.497,-1.1146,0.002394,0.002482,0.003685,0.004875
1775860616.7376318,single,2011,23,74,0.0572,0.0,0,977,235.64,247.22,-1.3778,-0.0356,-1.208,0.000467,0.000513,0.001303,0.000979
1775860617.7389195,single,2012,36,96,0.0885,0.0,0,977,318.6,323.5,-1.3115,-0.4674,-1.3294,0.001074,0.001269,0.001389,0.002343
1775860618.7399337,single,2013,51,126,0.1281,0.0,0,977,295.31,302.16,-1.3087,-0.7751,-1.2662,0.001139,0.001244,0.001088,0.002383
1775860619.7403836,single,2014,54,121,0.1353,0.0,0,977,303.65,308.49,-1.1774,-0.9512,-0.9038,0.000297,0.000301,0.000913,0.000598
1775860620.7408214,single,2015,56,95,0.1514,0.0,0,977,301.75,317.36,-0.8753,-1.1857,-0.7212,0.000228,0.000248,0.00114,0.000476
1775860621.7412736,single,2016,0,0,0.0,0.0,0,977,283.61,289.41,-0.6096,-1.3249,-0.4898,0.001228,0.001248,0.00214,0.002476
1775860622.7417524,single,2017,0,0,0.0,0.0,0,977,200.04,204.81,-0.2953,-1.2452,0.2101,0.002228,0.002248,0.00314,0.004476
1775860623.7421336,single,2018,59,124,0.1603,0.0,0,977,159.57,166.06,0.1075,-1.0026,0.5611,0.002812,0.003419,0.001538,0.006231
1775860624.7425392,single,2019,58,82,0.1503,0.0,0,977,281.43,286.9,0.4369,-0.7224,0.692,0.002926,0.003422,0.001459,0.006348
1775860625.7429225,single,2020,70,91,0.1733,0.0,0,977,204.59,210.57,0.7541,-0.4119,0.7902,0.003489,0.004149,0.001567,0.007638
1775860626.8109107,single,2021,66,104,0.1838,0.0,0,977,218.47,227.52,1.1358,-0.0808,0.8563,0.002732,0.003112,0.001316,0.005844
1775860627.812218,single,2022,57,97,0.1377,1.0,544,977,179.94,187.18,1.3404,0.3087,1.0833,0.001276,0.001324,0.001147,0.0026
1775860628.8795998,single,2023,56,98,0.1418,1.0,546,977,212.8,217.21,1.5308,0.7291,1.2516,0.001839,0.001957,0.001315,0.003796
1775860629.8802044,single,2024,65,105,0.1757,1.0,372,977,201.66,206.55,1.674,1.1671,1.3425,0.000603,0.000615,0.001143,0.001218
1775860630.8809702,single,2025,69,111,0.2,1.0,395,977,207.19,212.26,1.7416,1.5771,1.7287,0.0003,0.000278,0.001029,0.000578
1775860631.8816535,single,2026,50,114,0.1582,1.0,394,977,232.29,238.16,1.7819,1.6943,2.3511,0.00019,0.000179,0.001113,0.000368
1775860632.949072,single,2027,38,79,0.1152,1.0,398,977,269.27,275.05,1.7812,1.7228,2.511,0.000311,0.000353,0.001319,0.000664
1775860633.9502265,single,2028,0,0,0.0,0.0,0,977,220.21,225.61,1.7752,1.726,2.5113,0.000311,0.000353,0.001319,0.000664
1775860634.951116,single,2029,0,0,0.0,0.0,0,977,91.54,98.17,1.77,1.7302,2.5113,0.000311,0.000353,0.001319,0.000664
