plan_id,pose_index,x,y
1,0,-2.9519,2.2049
1,1,-2.9019,2.1549
1,2,-2.8519,2.1049
1,3,-2.8019,2.0549
1,4,-2.7519,2.0049
1,5,-2.7019,1.9549
1,6,-2.6519,1.9049
1,7,-2.6019,1.8549
1,8,-2.5519,1.8049
1,9,-2.5019,1.7549
1,10,-2.4519,1.7049
1,11,-2.4019,1.6549
1,12,-2.3519,1.6049
1,13,-2.3019,1.5549
1,14,-2.2519,1.5049
1,15,-2.2019,1.4549
1,16,-2.1519,1.4049
1,17,-2.1019,1.3549
1,18,-2.0519,1.3049
1,19,-2.0019,1.2549
1,20,-1.9519,1.2049
1,21,-1.902,1.1549
1,22,-1.852,1.1049
1,23,-1.8021,1.0549
1,24,-1.7523,1.0049
1,25,-1.7026,0.9549
1,26,-1.6531,0.9049
1,27,-1.604,0.8549
1,28,-1.5554,0.8049
1,29,-1.5077,0.7549
1,30,-1.4613,0.7049
1,31,-1.417,0.6549
1,32,-1.3754,0.6049
1,33,-1.3376,0.5549
1,34,-1.3044,0.5049
1,35,-1.2766,0.4549
1,36,-1.2544,0.4049
1,37,-1.2376,0.3549
1,38,-1.2254,0.3049
1,39,-1.217,0.2549
1,40,-1.2113,0.2049
1,41,-1.2077,0.1549
1,42,-1.2054,0.1049
1,43,-1.2039,0.0549
1,44,-1.2031,0.0049
1,45,-1.2025,-0.0451
1,46,-1.2022,-0.0951
1,47,-1.2019,-0.1451
1,48,-1.2017,-0.1951
1,49,-1.2014,-0.2451
1,50,-1.201,-0.2951
1,51,-1.2003,-0.3451
1,52,-1.1993,-0.3951
1,53,-1.1977,-0.4451
1,54,-1.1953,-0.4951
1,55,-1.1917,-0.5451
1,56,-1.1868,-0.5951
1,57,-1.1802,-0.6451
1,58,-1.1717,-0.695
1,59,-1.1613,-0.7449
1,60,-1.1489,-0.7947
1,61,-1.134,-0.8444
1,62,-1.1163,-0.8939
1,63,-1.0951,-0.943
1,64,-1.0699,-0.9916
1,65,-1.0407,-1.0394
1,66,-1.0076,-1.086
1,67,-0.9709,-1.131
1,68,-0.9308,-1.1736
1,69,-0.888,-1.2133
1,70,-0.843,-1.2496
1,71,-0.7963,-1.2817
1,72,-0.7485,-1.3095
1,73,-0.6998,-1.3324
1,74,-0.6507,-1.3501
1,75,-0.6012,-1.3627
1,76,-0.5515,-1.3702
1,77,-0.5017,-1.3727
1,78,-0.4518,-1.37
1,79,-0.4018,-1.3623
1,80,-0.3519,-1.3497
1,81,-0.3019,-1.3326
1,82,-0.2519,-1.3115
1,83,-0.2019,-1.2868
