plan_id,pose_index,x,y
1,0,-2.0519,1.0049
1,1,-2.0169,0.9549
1,2,-1.9826,0.9049
1,3,-1.9498,0.8549
1,4,-1.9182,0.8049
1,5,-1.8873,0.7549
1,6,-1.856,0.7049
1,7,-1.8236,0.6549
1,8,-1.7901,0.6049
1,9,-1.7558,0.5549
1,10,-1.7212,0.5049
1,11,-1.6869,0.4549
1,12,-1.6531,0.4049
1,13,-1.6196,0.3549
1,14,-1.5864,0.3049
1,15,-1.5539,0.2549
1,16,-1.5229,0.2049
1,17,-1.4948,0.1549
1,18,-1.4704,0.1049
1,19,-1.4505,0.0549
1,20,-1.4352,0.0049
1,21,-1.424,-0.0451
1,22,-1.4162,-0.0951
1,23,-1.4109,-0.1451
1,24,-1.4074,-0.1951
1,25,-1.4052,-0.2451
1,26,-1.4038,-0.2951
1,27,-1.4028,-0.3451
1,28,-1.4022,-0.3951
1,29,-1.4017,-0.4451
1,30,-1.401,-0.495
1,31,-1.4002,-0.545
1,32,-1.399,-0.5948
1,33,-1.3971,-0.6446
1,34,-1.3942,-0.6943
1,35,-1.39,-0.7437
1,36,-1.384,-0.7928
1,37,-1.3757,-0.8414
1,38,-1.3647,-0.8894
1,39,-1.3506,-0.9366
1,40,-1.333,-0.9829
1,41,-1.3116,-1.0281
1,42,-1.2857,-1.0726
1,43,-1.2551,-1.1166
1,44,-1.2199,-1.1608
1,45,-1.1807,-1.2053
1,46,-1.1383,-1.2502
1,47,-1.0933,-1.2951
1,48,-1.0466,-1.3396
1,49,-0.9987,-1.3826
1,50,-0.95,-1.4233
1,51,-0.9008,-1.4604
1,52,-0.8513,-1.4928
1,53,-0.8016,-1.5192
1,54,-0.7517,-1.5389
1,55,-0.7018,-1.5513
1,56,-0.6519,-1.5562
1,57,-0.6019,-1.5536
1,58,-0.5519,-1.5438
1,59,-0.5019,-1.5274
1,60,-0.4519,-1.505
1,61,-0.4019,-1.4776
1,62,-0.3519,-1.4463
1,63,-0.3019,-1.4117
1,64,-0.2519,-1.3747
1,65,-0.2019,-1.3358
1,66,-0.1519,-1.2955
1,67,-0.1019,-1.2543
1,68,-0.0519,-1.2125
1,69,-0.0019,-1.17
1,70,0.0481,-1.1265
1,71,0.0981,-1.0819
