plan_id,pose_index,x,y
1,0,-1.9519,0.8049
1,1,-1.9169,0.7549
1,2,-1.8827,0.7049
1,3,-1.8499,0.6549
1,4,-1.8184,0.6049
1,5,-1.7876,0.5549
1,6,-1.7565,0.5049
1,7,-1.7245,0.4549
1,8,-1.6915,0.4049
1,9,-1.658,0.3549
1,10,-1.6249,0.3049
1,11,-1.5929,0.2549
1,12,-1.5624,0.2049
1,13,-1.5336,0.1549
1,14,-1.507,0.1049
1,15,-1.4828,0.0549
1,16,-1.4619,0.0049
1,17,-1.4447,-0.0451
1,18,-1.4314,-0.0951
1,19,-1.4216,-0.1451
1,20,-1.4146,-0.1951
1,21,-1.4099,-0.2451
1,22,-1.4067,-0.2951
1,23,-1.4047,-0.3451
1,24,-1.4033,-0.3951
1,25,-1.4022,-0.445
1,26,-1.4013,-0.495
1,27,-1.4001,-0.5448
1,28,-1.3986,-0.5946
1,29,-1.3963,-0.6443
1,30,-1.3929,-0.6937
1,31,-1.3877,-0.7428
1,32,-1.3803,-0.7915
1,33,-1.37,-0.8395
1,34,-1.3562,-0.8867
1,35,-1.3384,-0.9329
1,36,-1.3162,-0.9782
1,37,-1.2894,-1.0227
1,38,-1.2579,-1.0669
1,39,-1.2219,-1.1113
1,40,-1.1821,-1.1562
1,41,-1.1391,-1.2016
1,42,-1.0939,-1.2475
1,43,-1.047,-1.2932
1,44,-0.999,-1.3383
1,45,-0.9502,-1.3817
1,46,-0.9009,-1.4226
1,47,-0.8513,-1.4596
1,48,-0.8016,-1.4914
1,49,-0.7517,-1.5168
1,50,-0.7018,-1.5345
1,51,-0.6519,-1.5441
1,52,-0.6019,-1.5452
1,53,-0.5519,-1.5382
1,54,-0.5019,-1.5237
1,55,-0.4519,-1.5027
1,56,-0.4019,-1.4762
1,57,-0.3519,-1.4454
1,58,-0.3019,-1.4112
1,59,-0.2519,-1.3744
1,60,-0.2019,-1.3356
1,61,-0.1519,-1.2954
1,62,-0.1019,-1.2542
1,63,-0.0519,-1.2125
1,64,-0.0019,-1.17
1,65,0.0481,-1.1265
1,66,0.0981,-1.0819
1,67,0.1481,-1.0361
1,68,0.1981,-0.9892
1,69,0.2481,-0.9414
1,70,0.2981,-0.8929
1,71,0.3481,-0.844
1,72,0.3981,-0.7949
1,73,0.4481,-0.7457
1,74,0.4981,-0.6967
1,75,0.5481,-0.6481
1,76,0.5981,-0.6001
1,77,0.6481,-0.553
1,78,0.6981,-0.5072
1,79,0.7481,-0.4629
1,80,0.7981,-0.4203
1,81,0.848,-0.3794
1,82,0.898,-0.3397
1,83,0.9479,-0.3005
1,84,0.9978,-0.2608
1,85,1.0476,-0.2199
1,86,1.0972,-0.1773
1,87,1.1466,-0.133
1,88,1.1956,-0.0872
1,89,1.244,-0.04
1,90,1.2915,0.008
1,91,1.3375,0.0568
1,92,1.3816,0.106
1,93,1.4232,0.1556
1,94,1.4614,0.2053
1,95,1.4959,0.2551
1,96,1.5262,0.305
1,97,1.5524,0.3549
1,98,1.5746,0.4049
1,99,1.5931,0.4549
1,100,1.6082,0.5049
1,101,1.6202,0.5549
1,102,1.6293,0.6049
1,103,1.6362,0.6549
1,104,1.6413,0.7049
1,105,1.6452,0.7549
1,106,1.6486,0.8049
1,107,1.6518,0.8549
1,108,1.6554,0.9049
1,109,1.6596,0.9549
1,110,1.6646,1.0049
1,111,1.6701,1.0549
1,112,1.6759,1.1049
1,113,1.6815,1.1549
1,114,1.6864,1.2049
1,115,1.6904,1.2549
1,116,1.6938,1.3049
1,117,1.6967,1.3549
1,118,1.6995,1.4049
1,119,1.7026,1.4549
1,120,1.7065,1.5049
1,121,1.7117,1.5549
1,122,1.7184,1.6049
1,123,1.7269,1.6549
1,124,1.737,1.7049
1,125,1.7481,1.7549
2,0,-1.7519,0.6549
2,1,-1.7387,0.6049
2,2,-1.726,0.5549
2,3,-1.7138,0.5049
2,4,-1.7018,0.4549
2,5,-1.689,0.4049
2,6,-1.6743,0.3549
2,7,-1.6567,0.3049
2,8,-1.6353,0.2549
2,9,-1.6103,0.2049
2,10,-1.5821,0.1549
2,11,-1.5524,0.1049
2,12,-1.5228,0.0549
2,13,-1.4951,0.0049
2,14,-1.4709,-0.0451
2,15,-1.4509,-0.0951
2,16,-1.4355,-0.1451
2,17,-1.4242,-0.1951
2,18,-1.4162,-0.2451
2,19,-1.4108,-0.2951
2,20,-1.4072,-0.3451
2,21,-1.4048,-0.3951
2,22,-1.4032,-0.445
2,23,-1.4018,-0.495
2,24,-1.4005,-0.5448
2,25,-1.3988,-0.5946
2,26,-1.3964,-0.6443
2,27,-1.3929,-0.6937
2,28,-1.3878,-0.7428
2,29,-1.3804,-0.7915
2,30,-1.37,-0.8395
2,31,-1.3562,-0.8867
2,32,-1.3384,-0.9329
2,33,-1.3162,-0.9782
2,34,-1.2894,-1.0227
2,35,-1.2579,-1.0669
2,36,-1.2219,-1.1113
2,37,-1.1821,-1.1562
2,38,-1.1391,-1.2016
2,39,-1.0939,-1.2475
2,40,-1.047,-1.2932
2,41,-0.999,-1.3383
2,42,-0.9502,-1.3817
2,43,-0.9009,-1.4226
2,44,-0.8513,-1.4596
2,45,-0.8016,-1.4914
2,46,-0.7517,-1.5168
2,47,-0.7018,-1.5345
2,48,-0.6519,-1.5441
2,49,-0.6019,-1.5452
2,50,-0.5519,-1.5382
2,51,-0.5019,-1.5237
2,52,-0.4519,-1.5027
2,53,-0.4019,-1.4762
2,54,-0.3519,-1.4454
2,55,-0.3019,-1.4112
2,56,-0.2519,-1.3744
2,57,-0.2019,-1.3356
2,58,-0.1519,-1.2954
2,59,-0.1019,-1.2542
2,60,-0.0519,-1.2125
2,61,-0.0019,-1.17
2,62,0.0481,-1.1265
2,63,0.0981,-1.0819
2,64,0.1481,-1.0361
2,65,0.1981,-0.9892
2,66,0.2481,-0.9414
2,67,0.2981,-0.8929
2,68,0.3481,-0.844
2,69,0.3981,-0.7949
2,70,0.4481,-0.7457
2,71,0.4981,-0.6967
2,72,0.5481,-0.6481
2,73,0.5981,-0.6001
2,74,0.6481,-0.553
2,75,0.6981,-0.5072
2,76,0.7481,-0.4629
2,77,0.7981,-0.4203
2,78,0.848,-0.3794
2,79,0.898,-0.3397
2,80,0.9479,-0.3005
2,81,0.9978,-0.2608
2,82,1.0476,-0.2199
2,83,1.0972,-0.1773
2,84,1.1466,-0.133
2,85,1.1956,-0.0872
2,86,1.244,-0.04
2,87,1.2915,0.008
2,88,1.3375,0.0568
2,89,1.3816,0.106
2,90,1.4232,0.1556
2,91,1.4614,0.2053
2,92,1.4959,0.2551
2,93,1.5262,0.305
2,94,1.5524,0.3549
2,95,1.5746,0.4049
2,96,1.5931,0.4549
2,97,1.6082,0.5049
2,98,1.6202,0.5549
2,99,1.6293,0.6049
2,100,1.6362,0.6549
2,101,1.6413,0.7049
2,102,1.6452,0.7549
2,103,1.6486,0.8049
2,104,1.6518,0.8549
2,105,1.6554,0.9049
2,106,1.6596,0.9549
2,107,1.6646,1.0049
2,108,1.6701,1.0549
2,109,1.6759,1.1049
2,110,1.6815,1.1549
2,111,1.6864,1.2049
2,112,1.6904,1.2549
2,113,1.6938,1.3049
2,114,1.6967,1.3549
2,115,1.6995,1.4049
2,116,1.7026,1.4549
2,117,1.7065,1.5049
2,118,1.7117,1.5549
2,119,1.7184,1.6049
2,120,1.7269,1.6549
2,121,1.737,1.7049
2,122,1.7481,1.7549
3,0,-1.7019,0.3549
3,1,-1.6888,0.3049
3,2,-1.6761,0.2549
3,3,-1.6641,0.2049
3,4,-1.6523,0.1549
3,5,-1.6399,0.1049
3,6,-1.6257,0.0549
3,7,-1.609,0.0049
3,8,-1.589,-0.0451
3,9,-1.5659,-0.0951
3,10,-1.5405,-0.1451
3,11,-1.5145,-0.1951
3,12,-1.4895,-0.2451
3,13,-1.4671,-0.2951
3,14,-1.4485,-0.3451
3,15,-1.4337,-0.3951
3,16,-1.4227,-0.445
3,17,-1.4146,-0.495
3,18,-1.4086,-0.5448
3,19,-1.4038,-0.5946
3,20,-1.3995,-0.6443
3,21,-1.3947,-0.6937
3,22,-1.3888,-0.7428
3,23,-1.381,-0.7915
3,24,-1.3704,-0.8395
3,25,-1.3564,-0.8867
3,26,-1.3385,-0.9329
3,27,-1.3163,-0.9782
3,28,-1.2895,-1.0227
3,29,-1.2579,-1.0669
3,30,-1.2219,-1.1113
3,31,-1.1821,-1.1562
3,32,-1.1391,-1.2016
3,33,-1.0939,-1.2475
3,34,-1.047,-1.2932
3,35,-0.999,-1.3383
3,36,-0.9502,-1.3817
3,37,-0.9009,-1.4226
3,38,-0.8513,-1.4596
3,39,-0.8016,-1.4914
3,40,-0.7517,-1.5168
3,41,-0.7018,-1.5345
3,42,-0.6519,-1.5441
3,43,-0.6019,-1.5452
3,44,-0.5519,-1.5382
3,45,-0.5019,-1.5237
3,46,-0.4519,-1.5027
3,47,-0.4019,-1.4762
3,48,-0.3519,-1.4454
3,49,-0.3019,-1.4112
3,50,-0.2519,-1.3744
3,51,-0.2019,-1.3356
3,52,-0.1519,-1.2954
3,53,-0.1019,-1.2542
3,54,-0.0519,-1.2125
3,55,-0.0019,-1.17
3,56,0.0481,-1.1265
3,57,0.0981,-1.0819
3,58,0.1481,-1.0361
3,59,0.1981,-0.9892
3,60,0.2481,-0.9414
3,61,0.2981,-0.8929
3,62,0.3481,-0.844
3,63,0.3981,-0.7949
3,64,0.4481,-0.7457
3,65,0.4981,-0.6967
3,66,0.5481,-0.6481
3,67,0.5981,-0.6001
3,68,0.6481,-0.553
3,69,0.6981,-0.5072
3,70,0.7481,-0.4629
3,71,0.7981,-0.4203
3,72,0.848,-0.3794
3,73,0.898,-0.3397
3,74,0.9479,-0.3005
3,75,0.9978,-0.2608
3,76,1.0476,-0.2199
3,77,1.0972,-0.1773
3,78,1.1466,-0.133
3,79,1.1956,-0.0872
3,80,1.244,-0.04
3,81,1.2915,0.008
3,82,1.3375,0.0568
