timestamp_sec,camera_mode,node_id,inliers,matches,inlier_ratio,hypothesis_ratio,loop_closure_id,wm_size,detection_time_ms,total_time_ms,pos_x,pos_y,yaw,cov_xx,cov_yy,cov_yaw,cov_pos_trace
1775861470.3915327,single,2837,0,20,0.0,1.0,0,977,129.73,135.51,-3.1341,2.4536,2.2858,9999.0,9999.0,9999.0,19998.0
1775861471.3924568,single,2838,0,30,0.0,1.0,0,977,349.54,366.38,-2.988,2.2801,2.3049,9999.0,9999.0,9999.0,19998.0
1775861472.3931522,single,2839,0,18,0.0,1.0,0,977,237.9,245.65,-2.8721,2.1764,2.3174,9999.0,9999.0,9999.0,19998.0
1775861473.3939636,single,2840,0,34,0.0,1.0,0,977,152.75,157.31,-2.881,2.138,2.2763,9999.0,9999.0,9999.0,19998.0
1775861474.3947387,single,2841,0,25,0.0,1.0,0,977,202.87,210.9,-2.7032,1.8897,1.8204,9999.0,9999.0,9999.0,19998.0
1775861475.395883,single,2842,0,43,0.0,1.0,0,977,281.17,290.16,-2.6117,1.7147,0.5471,9999.0,9999.0,9999.0,19998.0
1775861476.3966935,single,2843,6,57,0.0135,1.0,0,977,231.99,237.7,-2.2806,1.6398,-0.6341,9999.0,9999.0,9999.0,19998.0
1775861477.4640975,single,2844,6,66,0.0142,1.0,0,977,287.47,292.28,-1.9722,1.2917,-0.864,9999.0,9999.0,9999.0,19998.0
1775861478.531473,single,2845,8,51,0.0207,1.0,0,977,349.81,357.95,-1.7404,0.8948,-1.0581,9999.0,9999.0,9999.0,19998.0
1775861479.5999522,single,2846,0,26,0.0,1.0,0,977,307.8,314.3,-1.5176,0.4822,-1.2378,9999.0,9999.0,9999.0,19998.0
1775861480.600847,single,2847,0,24,0.0,1.0,0,977,315.38,329.54,-1.4382,0.0579,-1.4378,9999.0,9999.0,9999.0,19998.0
1775861481.6017172,single,2848,31,82,0.0816,1.0,0,977,266.64,273.8,-1.3954,-0.387,-1.4648,9999.0,9999.0,9999.0,19998.0
1775861482.6026094,single,2849,36,109,0.0923,0.0,0,977,346.08,350.43,-1.2692,-0.9191,-1.1424,0.001496,0.001647,0.002081,0.003143
1775861483.6710567,single,2850,42,108,0.1082,0.0,0,977,310.71,316.11,-1.013,-1.1471,-0.7092,0.001492,0.001673,0.001773,0.003165
1775861484.671901,single,2851,0,0,0.0,0.0,0,977,353.6,358.12,-0.6394,-1.264,-0.328,0.002492,0.002673,0.002773,0.005165
1775861485.7395544,single,2852,0,0,0.0,0.0,0,977,190.2,200.19,-0.509,-1.2863,-0.0619,0.003492,0.003673,0.003773,0.007165
1775861486.7409074,single,2853,51,103,0.1375,0.0,0,977,126.11,134.42,-0.1284,-1.1443,0.4503,0.004618,0.004997,0.001946,0.009616
1775861487.741885,single,2854,60,117,0.1562,0.0,0,977,284.69,290.44,0.2482,-0.8717,0.7073,0.004164,0.004426,0.001458,0.00859
1775861488.742941,single,2855,59,117,0.17,0.0,0,977,269.35,273.65,0.575,-0.5692,0.7219,0.003973,0.004479,0.001413,0.008452
1775861489.7438426,single,2856,71,113,0.1914,0.0,0,977,272.94,277.37,0.873,-0.2646,0.7033,0.004028,0.004713,0.001504,0.008741
1775861490.7448497,single,2857,52,88,0.1516,1.0,370,977,209.61,216.12,1.2382,0.0252,0.8327,0.00191,0.002102,0.001329,0.004013
1775861491.812838,single,2858,63,105,0.1469,1.0,545,977,196.91,205.72,1.3997,0.4234,1.1622,0.001572,0.001647,0.00115,0.003219
1775861492.8138888,single,2859,65,98,0.1706,1.0,546,977,223.23,229.68,1.577,0.824,1.2383,0.001962,0.002078,0.001394,0.00404
1775861493.8148637,single,2860,82,124,0.2433,1.0,546,977,186.32,191.33,1.6892,1.2988,1.3584,0.000985,0.001046,0.001291,0.002031
1775861494.8159292,single,2861,70,139,0.2236,1.0,547,977,243.05,248.01,1.7066,1.6596,1.9603,0.00152,0.001607,0.001203,0.003127
1775861495.8836458,single,2862,41,85,0.1323,1.0,398,977,266.6,273.27,1.7408,1.6939,2.4607,0.000574,0.000601,0.001445,0.001175
1775861496.884603,single,2863,0,0,0.0,0.0,0,977,214.51,219.48,1.7459,1.6913,2.5049,0.000574,0.000601,0.001445,0.001175
1775861497.885553,single,2864,0,0,0.0,0.0,0,977,84.25,88.69,1.7387,1.6955,2.5061,0.000574,0.000601,0.001445,0.001175
1775861499.0200853,single,2865,0,0,0.0,0.0,0,977,78.79,83.05,1.7332,1.6995,2.5059,0.000574,0.000601,0.001445,0.001175
1775861500.0880146,single,2866,0,0,0.0,0.0,0,977,78.2,82.29,1.7298,1.7014,2.5068,0.000574,0.000601,0.001445,0.001175
