timestamp_sec,camera_mode,node_id,inliers,matches,inlier_ratio,hypothesis_ratio,loop_closure_id,wm_size,detection_time_ms,total_time_ms,pos_x,pos_y,yaw,cov_xx,cov_yy,cov_yaw,cov_pos_trace
1775686603.6344373,double,23003,0,0,0.0,0.0,0,977,242.79,253.4,-3.1404,2.5163,2.2949,9999.0,9999.0,9999.0,19998.0
1775686604.635271,double,23004,0,0,0.0,0.0,0,977,158.63,164.31,-3.1399,2.5163,2.2972,9999.0,9999.0,9999.0,19998.0
1775686605.8364358,double,23005,0,0,0.0,0.0,0,977,131.43,151.97,-3.1398,2.5164,2.2973,9999.0,9999.0,9999.0,19998.0
1775686606.8373249,double,23006,0,0,0.0,0.0,0,977,144.57,153.0,-3.1603,2.5297,2.3029,9999.0,9999.0,9999.0,19998.0
1775686607.838133,double,23007,0,0,0.0,0.0,0,977,187.28,197.5,-3.162,2.5321,2.2972,9999.0,9999.0,9999.0,19998.0
1775686608.9724824,double,23008,0,0,0.0,0.0,0,977,166.08,184.93,-3.1597,2.5292,2.2986,9999.0,9999.0,9999.0,19998.0
1775686610.2401323,double,23009,4,26,0.0091,1.0,0,977,164.18,186.58,-3.1001,2.4254,2.3425,9999.0,9999.0,9999.0,19998.0
1775686611.2411537,double,23010,3,33,0.0071,1.0,0,977,230.81,240.17,-2.9467,2.2734,2.361,9999.0,9999.0,9999.0,19998.0
1775686612.3089006,double,23011,0,0,0.0,0.0,0,977,319.08,335.21,-2.7976,2.1646,2.3758,9999.0,9999.0,9999.0,19998.0
1775686613.3775818,double,23012,3,23,0.0065,1.0,0,977,253.39,262.74,-2.8074,2.1368,2.3914,9999.0,9999.0,9999.0,19998.0
1775686614.4450545,double,23013,3,26,0.0073,1.0,0,977,217.89,225.19,-2.5439,1.915,2.6065,9999.0,9999.0,9999.0,19998.0
1775686615.512342,double,23014,0,0,0.0,0.0,0,977,290.69,305.23,-2.2517,1.7503,-2.8356,9999.0,9999.0,9999.0,19998.0
1775686617.0467787,double,23015,19,139,0.0419,1.0,0,977,236.83,249.23,-2.0585,1.3582,-1.0595,9999.0,9999.0,9999.0,19998.0
1775686618.047357,double,23016,3,45,0.0067,1.0,0,977,336.75,342.64,-1.7843,0.9974,-0.9465,9999.0,9999.0,9999.0,19998.0
1775686619.1812737,double,23017,3,25,0.0071,1.0,0,977,308.7,316.19,-1.5707,0.557,-1.1773,9999.0,9999.0,9999.0,19998.0
1775686620.582257,double,23018,23,128,0.0518,1.0,0,977,400.94,416.71,-1.4265,-0.0248,-1.311,9999.0,9999.0,9999.0,19998.0
1775686621.7164407,double,23019,0,0,0.0,0.0,0,977,425.4,437.45,-1.346,-0.5301,-1.2149,9999.0,9999.0,9999.0,19998.0
1775686622.7837687,double,23020,41,185,0.0981,0.0,0,977,463.27,470.15,-1.3764,-0.9212,-0.9148,0.000918,0.000894,0.001257,0.001812
1775686623.8510337,double,23021,40,151,0.0959,0.0,0,977,436.36,453.21,-1.2867,-1.0271,-0.715,0.000565,0.000589,0.000854,0.001154
1775686624.985237,double,23022,0,0,0.0,0.0,0,977,440.16,447.49,-0.8934,-1.2354,-0.4445,0.001565,0.001589,0.001854,0.003154
1775686626.0527418,double,23023,0,0,0.0,0.0,0,977,314.09,335.51,-0.5902,-1.2857,-0.1692,0.002565,0.002589,0.002854,0.005154
1775686627.0536153,double,23024,33,139,0.0831,0.0,0,977,307.78,317.95,-0.5005,-1.2355,0.1798,0.002117,0.002214,0.001548,0.004331
1775686628.054286,double,23025,50,122,0.1176,0.0,0,977,228.98,237.86,-0.0631,-1.0053,0.5083,0.002022,0.002167,0.001143,0.004189
1775686629.1889887,double,23026,51,159,0.1266,1.0,369,977,279.59,284.81,0.3882,-0.6939,0.6102,0.001664,0.001814,0.00145,0.003478
1775686630.2567325,double,23027,60,126,0.1471,1.0,542,977,277.05,289.54,0.7336,-0.4172,0.6454,0.002335,0.002678,0.001188,0.005013
1775686631.2576334,double,23028,47,111,0.1149,1.0,370,977,369.36,381.99,1.0738,-0.1251,0.7556,0.00254,0.002959,0.001185,0.005499
1775686632.2603612,double,23029,39,88,0.0975,1.0,543,977,332.52,355.58,1.3435,0.2233,1.0217,0.002569,0.002935,0.001142,0.005505
1775686633.5948107,double,23030,44,107,0.1089,1.0,546,977,210.21,217.94,1.5577,0.7477,1.246,0.003078,0.003552,0.00133,0.00663
1775686634.5958495,double,23031,56,115,0.1538,1.0,372,977,301.95,323.2,1.6315,1.2286,1.4464,0.000525,0.000533,0.000984,0.001058
1775686635.7297943,double,23032,51,141,0.1466,1.0,395,977,284.86,296.13,1.6923,1.6247,1.9912,0.000164,0.000161,0.000861,0.000325
1775686636.8636706,double,23033,25,88,0.0718,1.0,398,977,437.66,474.05,1.745,1.6769,2.4733,0.000846,0.000858,0.001274,0.001704
1775686637.9976258,double,23034,0,0,0.0,0.0,0,977,267.76,276.68,1.7489,1.6784,2.4816,0.000846,0.000858,0.001274,0.001704
