timestamp_sec,camera_mode,node_id,inliers,matches,inlier_ratio,hypothesis_ratio,loop_closure_id,wm_size,detection_time_ms,total_time_ms,pos_x,pos_y,yaw,cov_xx,cov_yy,cov_yaw,cov_pos_trace
1776980169.9454799,single,6183,0,0,0.0,0.0,0,977,416.58,433.21,-1.9755,1.0426,2.3496,0.019794,0.019831,0.020266,0.039625
1776980172.013775,single,6185,0,0,0.0,0.0,0,977,494.63,512.14,-1.8655,0.925,2.5661,0.020794,0.020831,0.021266,0.041625
1776980173.148187,single,6186,0,0,0.0,0.0,0,977,491.25,509.16,-1.6404,0.7582,-2.4817,0.021794,0.021831,0.022266,0.043625
1776980174.215841,single,6187,40,151,0.0873,0.0,0,977,465.68,493.06,-1.7969,0.4856,-1.469,0.009014,0.00907,0.003622,0.018084
1776980175.2843325,single,6188,30,152,0.0696,0.0,0,977,467.35,476.26,-1.6538,0.0328,-1.3432,0.007395,0.007768,0.002387,0.015163
1776980176.2857978,single,6189,0,0,0.0,0.0,0,977,513.93,531.96,-1.5138,-0.37,-1.1562,0.008395,0.008768,0.003387,0.017163
1776980177.353623,single,6190,0,0,0.0,0.0,0,977,567.6,646.75,-1.3563,-0.7478,-1.0312,0.009395,0.009768,0.004387,0.019163
1776980178.6880572,single,6191,23,144,0.0524,0.0,0,977,530.69,543.19,-1.1611,-1.0508,-0.8098,0.00134,0.001349,0.002326,0.002689
1776980179.6887932,single,6192,0,0,0.0,0.0,0,977,432.82,445.28,-0.8468,-1.2828,-0.5409,0.00234,0.002349,0.003326,0.004689
1776980180.8228977,single,6193,0,0,0.0,0.0,0,977,425.9,444.38,-0.5023,-1.3292,0.0172,0.00334,0.003349,0.004326,0.006689
1776980181.9569924,single,6194,32,128,0.0806,0.0,0,977,245.4,252.76,-0.0206,-1.0712,0.6419,0.001005,0.001061,0.001364,0.002066
1776980182.9577425,single,6195,44,139,0.11,0.0,0,977,806.9,834.02,0.2698,-0.7962,0.7652,0.001889,0.002184,0.001285,0.004073
1776980184.158908,single,6196,37,137,0.0892,0.0,0,977,385.11,398.08,0.6621,-0.441,0.6941,0.002585,0.003258,0.000982,0.005843
1776980185.2265415,single,6197,52,98,0.131,1.0,370,977,426.97,439.56,1.011,-0.1294,0.7847,0.002788,0.003358,0.001058,0.006146
1776980186.2271328,single,6198,54,105,0.1259,1.0,0,977,422.67,436.24,1.2892,0.2185,1.0977,0.002969,0.003409,0.001377,0.006378
1776980187.2943609,single,6199,43,102,0.0993,1.0,546,977,302.04,313.81,1.4578,0.6218,1.2896,0.003494,0.003924,0.001615,0.007417
1776980188.2950275,single,6200,64,145,0.1633,1.0,546,977,459.83,468.08,1.5755,1.0304,1.3672,0.001379,0.001416,0.00121,0.002795
1776980189.7640898,single,6201,65,128,0.1884,1.0,395,977,383.25,406.89,1.6672,1.6057,1.8728,0.001169,0.001198,0.001025,0.002367
1776980190.7645984,single,6202,30,48,0.0867,1.0,398,977,304.75,322.04,1.7516,1.6843,2.3638,0.000177,0.000208,0.000482,0.000385
1776980192.900337,single,6204,0,0,0.0,0.0,0,977,439.22,451.52,1.7484,1.6876,2.5182,0.000483,0.000519,0.001111,0.001002
