timestamp_sec,camera_mode,node_id,inliers,matches,inlier_ratio,hypothesis_ratio,loop_closure_id,wm_size,detection_time_ms,total_time_ms,pos_x,pos_y,yaw,cov_xx,cov_yy,cov_yaw,cov_pos_trace
1775687438.0312264,double,23759,0,0,0.0,0.0,0,977,141.45,157.21,-3.145,2.5769,2.259,0.007562,0.007663,0.007973,0.015224
1775687439.232752,double,23760,0,0,0.0,0.0,0,977,192.35,207.9,-3.1449,2.5771,2.2594,0.007562,0.007663,0.007973,0.015224
1775687440.3003433,double,23761,0,0,0.0,0.0,0,977,189.87,215.55,-3.1478,2.5244,2.27,9999.0,9999.0,9999.0,19998.0
1775687441.969919,double,23762,0,0,0.0,0.0,0,977,147.62,168.99,-3.1466,2.5232,2.2717,9999.0,9999.0,9999.0,19998.0
1775687443.037273,double,23763,0,0,0.0,0.0,0,977,128.64,139.44,-3.1707,2.539,2.286,9999.0,9999.0,9999.0,19998.0
1775687444.171387,double,23764,0,0,0.0,0.0,0,977,123.01,142.08,-3.1704,2.5396,2.2848,9999.0,9999.0,9999.0,19998.0
1775687445.238759,double,23765,3,34,0.007,1.0,0,977,138.7,144.24,-3.1715,2.5359,2.2863,9999.0,9999.0,9999.0,19998.0
1775687446.239547,double,23766,0,0,0.0,0.0,0,977,227.13,247.16,-3.0856,2.3993,2.3738,9999.0,9999.0,9999.0,19998.0
1775687447.3741162,double,23767,3,26,0.0067,1.0,0,977,163.68,178.59,-2.8924,2.2002,2.4144,9999.0,9999.0,9999.0,19998.0
1775687448.6418593,double,23768,0,0,0.0,0.0,0,977,267.01,280.71,-2.8661,2.099,2.4976,9999.0,9999.0,9999.0,19998.0
1775687449.6427639,double,23769,0,0,0.0,0.0,0,977,216.58,239.11,-2.5801,1.9261,3.0304,9999.0,9999.0,9999.0,19998.0
1775687450.7112794,double,23770,0,0,0.0,0.0,0,977,203.29,212.69,-2.4325,1.773,-1.6108,9999.0,9999.0,9999.0,19998.0
1775687451.7786767,double,23771,0,0,0.0,0.0,0,977,269.59,275.93,-2.1886,1.4718,-0.8898,9999.0,9999.0,9999.0,19998.0
1775687452.7792053,double,23772,3,25,0.0066,1.0,0,977,292.44,302.36,-1.9579,1.1369,-0.9738,9999.0,9999.0,9999.0,19998.0
1775687453.7798367,double,23773,9,85,0.0202,1.0,0,977,322.09,340.41,-1.6747,0.7999,-0.9777,9999.0,9999.0,9999.0,19998.0
1775687454.980591,double,23774,30,152,0.0682,1.0,0,977,314.84,323.92,-1.4481,0.3877,-1.2492,9999.0,9999.0,9999.0,19998.0
1775687456.248384,double,23775,22,102,0.0495,0.0,0,977,513.75,525.98,-1.4543,-0.3026,-1.438,0.002399,0.00403,0.002455,0.006429
1775687457.383273,double,23776,0,0,0.0,0.0,0,977,386.23,395.56,-1.4078,-0.7627,-1.2987,0.003399,0.00503,0.003455,0.008429
1775687458.3841355,double,23777,28,155,0.0697,0.0,0,977,260.9,271.89,-1.2565,-1.0131,-0.8507,0.001137,0.001244,0.001011,0.002381
1775687459.384631,double,23778,36,115,0.0818,0.0,0,977,370.38,378.0,-0.8915,-1.2607,-0.5588,9.5e-05,0.000131,0.000938,0.000226
1775687460.785466,double,23779,0,0,0.0,0.0,0,977,380.39,389.79,-0.4425,-1.2934,0.1273,0.001095,0.001131,0.001938,0.002226
1775687462.1199982,double,23780,45,129,0.1145,1.0,0,977,215.34,221.99,0.0441,-0.9553,0.6702,0.00108,0.001158,0.000833,0.002238
1775687463.2541015,double,23781,51,159,0.12,1.0,369,977,464.28,487.4,0.444,-0.6152,0.7561,0.001314,0.001437,0.00096,0.002751
1775687464.3214035,double,23782,60,125,0.1504,1.0,542,977,412.57,429.77,0.7899,-0.3416,0.7576,0.002055,0.002327,0.000878,0.004383
1775687465.388801,double,23783,41,96,0.1192,1.0,370,977,331.94,346.34,1.17,-0.0257,0.8542,0.001751,0.001909,0.000908,0.003659
1775687466.389866,double,23784,43,113,0.1062,1.0,371,977,329.81,341.85,1.374,0.3575,1.0314,0.002144,0.002334,0.001359,0.004478
1775687467.390745,double,23785,30,82,0.0767,1.0,372,977,325.96,343.99,1.5574,0.7284,1.1958,0.00211,0.002233,0.001258,0.004343
1775687468.45807,double,23786,47,106,0.119,1.0,372,977,306.34,312.73,1.686,1.2043,1.3476,0.000936,0.000962,0.001157,0.001897
1775687469.4587317,double,23787,54,115,0.1488,1.0,395,977,413.76,425.99,1.7802,1.5813,1.726,0.000412,0.000391,0.000875,0.000803
1775687470.7261899,double,23788,24,89,0.0716,1.0,398,977,316.89,329.85,1.7525,1.7456,2.4619,0.000394,0.00041,0.001097,0.000804
1775687471.9938314,double,23789,0,0,0.0,0.0,0,977,270.63,281.66,1.7482,1.7486,2.5303,0.000394,0.00041,0.001097,0.000804
